trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
20,False,"{'a': 0.5, 'e': 0.9800665778412416}",20,0,-120.39767137660273,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9780309147241483}",25,0,-85.48711916576069,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.9758974493306055}",30,0,-306.27158819268533,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 5}",0
23,False,"{'a': 0.5, 'e': 0.9736663950053749}",20,0,-80.32699209632767,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9713379748520296}",20,0,-200.28207649869765,"{0: 12, 1: 1, 2: 1, 3: 2, 4: 4}",0
25,False,"{'a': 0.5, 'e': 0.9689124217106447}",35,0,-281.1677583087392,"{0: 18, 1: 4, 2: 8, 3: 0, 4: 5}",0
26,False,"{'a': 0.5, 'e': 0.9663899781345132}",35,0,-222.04112011838222,"{0: 20, 1: 5, 2: 4, 3: 3, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.9637708963658905}",25,0,-92.002198266163,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9610554383107709}",20,9,-68.66352279788251,"{0: 5, 1: 2, 2: 3, 3: 0, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.9582438755126972}",20,0,-120.39071616672615,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.955336489125606}",25,0,-133.07706320330752,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9523335698857134}",20,0,-171.70577633298552,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.9492354180824408}",20,0,-120.49316075823006,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.946042343528387}",25,0,-55.186646006845045,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.9427546655283462}",20,13,-1.0981792331667766,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.9393727128473789}",20,6,-79.258673693075,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 2}",1
36,False,"{'a': 0.5, 'e': 0.9358968236779348}",20,0,-102.40170667501255,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.9323273456060345}",20,0,-120.06152960753862,"{0: 10, 1: 6, 2: 2, 3: 0, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.9286646355765102}",20,0,-64.79435480210594,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.9249090598573131}",25,0,-147.55558709917975,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.9210609940028851}",20,0,-133.28226377935633,"{0: 8, 1: 5, 2: 4, 3: 2, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.9171208228166051}",20,0,-207.9704839659652,"{0: 8, 1: 1, 2: 5, 3: 4, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.9130889403123083}",20,0,-88.83164696890567,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9089657496748851}",30,0,-158.8160342168497,"{0: 17, 1: 2, 2: 7, 3: 3, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9047516632199634}",30,0,-207.4650571749893,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 4}",0
45,False,"{'a': 0.5, 'e': 0.9004471023526769}",25,0,-180.5797696959575,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.8960524975255252}",30,0,-107.91902954268731,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.891568288195329}",20,9,-49.80297005204114,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
48,False,"{'a': 0.5, 'e': 0.8869949227792842}",20,0,-75.04674367419697,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.8823328586101215}",30,6,-114.1693689327552,"{0: 18, 1: 0, 2: 2, 3: 2, 4: 2}",1
50,False,"{'a': 0.5, 'e': 0.8775825618903728}",30,0,-282.76093057894235,"{0: 13, 1: 6, 2: 3, 3: 4, 4: 4}",0
51,False,"{'a': 0.5, 'e': 0.8727445076457513}",25,0,-70.9994622265543,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.8678191796776499}",25,0,-128.64390515674302,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.862807070514761}",30,0,-115.11487040550404,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.8577086813638242}",20,0,-61.3045854371348,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.8525245220595057}",35,0,-181.76443064731416,"{0: 20, 1: 3, 2: 9, 3: 1, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.8472551110134161}",30,0,-69.74429659606452,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.8419009751622687}",20,0,-49.7707304586438,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.8364626499151869}",30,0,-74.27771545916134,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.8309406791001636}",20,0,-35.32691973680796,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.8253356149096783}",25,0,-180.30921551786636,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
61,False,"{'a': 0.5, 'e': 0.8196480178454795}",30,0,-63.30737559608866,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.8138784566625339}",25,0,-119.27428369384711,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.8080275083121519}",20,0,-46.02361044129617,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.8020957578842927}",20,0,-80.10074812539139,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.7960837985490558}",20,0,-13.713698610140371,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.7899922314973651}",30,19,-69.25817968813334,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.7838216658808492}",25,2,-74.10265300276808,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.7775727187509279}",30,17,-44.41493587591094,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.7712460149971065}",20,0,-39.00703890573765,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.7648421872844884}",20,0,-73.36041490431542,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.7583618759905082}",20,0,-155.9157491661445,"{0: 12, 1: 0, 2: 3, 3: 3, 4: 2}",0
